"study","infected_year","tested_year","log_titer"
"smith",1990,1992,7
"smith",1990,1992,8
"smith",1990,1992,8
"smith",1990,1992,7
"smith",1990,1992,7
"smith",1990,1992,7
"smith",1990,1992,8
"smith",1990,1992,8
"smith",1990,1992,7
"smith",1990,1992,7
"smith",1990,1992,7
"smith",1990,1992,7
"smith",1990,1992,8
"smith",1990,1992,7
"smith",1991,1968,0
"smith",1991,1972,0
"smith",1991,1974,0
"smith",1991,1975,0
"smith",1991,1977,0
"smith",1991,1980,0
"smith",1991,1980,0
"smith",1991,1982,0
"smith",1991,1982,0
"smith",1991,1985,0
"smith",1991,1985,3
"smith",1991,1986,3
"smith",1991,1988,5
"smith",1991,1989,6
"smith",1991,1990,7
"smith",1991,1991,8
"smith",1991,1993,2
"smith",1991,1993,1
"smith",1991,1993,2
"smith",1991,1995,2
"smith",1991,1989,5
"smith",1991,1991,8
"smith",1991,1989,7
"smith",1991,1990,3
"smith",1991,1992,2
"smith",1991,1992,0
"smith",1991,1992,3
"smith",1991,1992,2
"smith",1991,1992,1
"smith",1991,1992,7
"smith",1991,1992,7
"smith",1991,1992,8
"smith",1991,1993,0
"smith",1991,1993,7
"smith",1991,1993,8
"smith",1991,1993,2
"smith",1991,1993,7
"smith",1991,1993,2
"smith",1991,1993,1
"smith",1991,1993,4
"smith",1991,1993,3
"smith",1991,1993,2
"smith",1991,1993,2
"smith",1991,1993,2
"smith",1991,1993,6
"smith",1991,1993,3
"smith",1991,1993,7
"smith",1991,1993,0
"smith",1991,1993,0
"smith",1991,1993,0
"smith",1991,1993,0
"smith",1991,1993,2
"smith",1991,1993,2
"smith",1991,1993,2
"smith",1991,1993,2
"smith",1991,1993,2
"smith",1991,1993,1
"smith",1991,1993,2
"smith",1991,1993,3
"smith",1991,1993,2
"smith",1991,1993,1
"smith",1991,1993,3
"smith",1991,1993,3
"smith",1991,1993,1
"smith",1991,1993,0
"smith",1991,1993,2
"smith",1991,1993,2
"smith",1991,1993,2
"smith",1991,1993,4
"smith",1991,1993,1
"smith",1991,1994,4
"smith",1991,1994,3
"smith",1991,1994,3
"smith",1991,1994,3
"smith",1991,1994,3
"smith",1991,1994,3
"smith",1991,1993,2
"smith",1991,1993,2
"smith",1991,1993,2
"smith",1991,1994,2
"smith",1991,1994,2
"smith",1991,1995,3
"smith",1991,1995,2
